Statement Analysis
Query,Full Table Scan,Executed (#),Errors (#),Warnings (#),Total Time,Max Time,Avg Time,Rows Sent (#),Avg. Rows Sent (#),Rows Scanned (#),Avg. Rows Scanned (#),Temp. Tables (#),Temp. Disk Tables (#),Rows Sorted (#),Sort Merge Passes (#),Digest
SHOW VARIABLES LIKE ?,*,5,0,0,33837.20,17296.10,6767.40,3,1.0,3,1.0,5,0,0,0,230e50b71157a47e34c64f86d958d304e42cc8bad0d5a345f7f60672da38222c
SHOW FULL FIELDS FROM `sjsu_rental_database` . `host`,,11,0,0,33829.00,5367.60,3075.30,187,17.0,803,73.0,11,0,187,0,9290e022b98324d984f501ef9cd459c8deed96b4f7ada3e06ffc8dd92a0d25f0
SHOW FULL FIELDS FROM `hw_4` . `patron`,,17,0,0,33608.10,3829.00,1976.90,68,4.0,357,21.0,17,0,68,0,f01a2fafebe1de7f41ccde423777ae8483f621bf5b712a1834da63a2e2a3410d
SHOW FULL FIELDS FROM `sjsu_rental_database` . `state`,,15,0,0,33105.30,3483.20,2207.00,30,2.0,195,13.0,15,0,30,0,1cdf750004e0b75ccd8ac8f1b889aad3afa5635ed9a5b95b34e00745e297fb51
SHOW FULL FIELDS FROM `sjsu_rental_database` . `payment`,,10,0,0,32007.10,10630.70,3200.70,50,5.0,250,25.0,10,0,50,0,f92330bde6d546eb5641841ad65c5cfe56ef7fe6e313aa0003462bbde178ec20
"CREATE EVENT `Fixed_Monthly_Bill` ON SCHEDULE EVERY ? SQL_TSI_MONTH STARTS ? DO BEGIN SELECT `bookings` . `Customer_Name` , ( `Price_Incurred` + ? ) AS ? FROM `sjsu_rental_database` . `bookings` JOIN `sjsu_rental_database` . `customer` ON `bookings` . `Customer_ID` = `customer` . `Customer_ID` ; END",,1,0,0,31895.30,31895.30,31895.30,0,0.0,0,0.0,0,0,0,0,c0ed9db5cfafeaf9962938085c3af000f2587feb2f4469cb3749daabb22aad2b
"CREATE TABLE `State` ( `State_ID` INTEGER PRIMARY KEY NOT NULL , NAME VARCHARACTER (?) NOT NULL )",,1,0,0,31486.00,31486.00,31486.00,0,0.0,0,0.0,0,0,0,0,5d2d0e0a02d9ebf1032eb33bb53ef948ecd74295e1a103dcc5ccbbd56b5bdc1f
SHOW FULL FIELDS FROM `sjsu_rental_database` . `verification`,,15,0,0,31303.10,3371.20,2086.80,30,2.0,195,13.0,15,0,30,0,4519a9e21ffc8ccf1d6e246882fa7ccb612c4dfdde171577da5a1d031a860c7f
"SELECT * FROM `sjsu_rental_database` . `bookings` LIMIT ?, ...",*,16,0,0,31232.30,18779.10,1952.00,115,7.0,115,7.0,0,0,0,0,cc9419797c2061e8212ae598bd0909ac9b3dc0d9a7c918aa88a67bddb1e765cf
SHOW TABLE STATUS LIKE ?,,22,0,0,30924.40,2422.70,1405.60,22,1.0,336,15.0,0,0,22,0,cb62f9bcae58a460fc985bfa6ed940c7d815b1a94c7fd7dd768819f9fd18a8fa
UPDATE HOST SET `Listings_Count` = ? WHERE `Host_ID` = ?,,2,0,0,30546.80,21581.10,15273.40,0,0.0,2,1.0,0,0,0,0,4250ac5584c639d33a1ad12196064e14bb14b37395792f5004e1379a37b63633
SHOW FULL FIELDS FROM `hw_4` . `writes`,,17,0,0,28707.30,4670.40,1688.60,34,2.0,221,13.0,17,0,34,0,088b79cb06c118d6ea91eadcc218cc58741ba0b1c412bd97e67867c17aee3958
"SELECT * FROM `sjsu_rental_database` . `customer` LIMIT ?, ...",*,5,0,0,27392.70,22481.30,5478.50,50,10.0,50,10.0,0,0,0,0,7d53d9059aa357903db07fe351d091d81df31316b39f2956acd2a2d9d2d5ac98
SELECT `st` . * FROM `performance_schema` . `events_stages_history_long` `st` WHERE `st` . `nesting_event_id` = ?,*,105,0,0,27324.60,1850.70,260.20,0,0.0,0,0.0,0,0,0,0,38ab808b1a73a9d4a0cd3dd87d741ef210a26d49ad8f262c92173ac348672be3
SHOW FULL FIELDS FROM `sjsu_rental_database` . `reviews`,,11,0,0,27279.20,4281.00,2479.90,77,7.0,363,33.0,11,0,77,0,0734fcf3bffda9977876284ee16907d9d1c711c715036978045f339313433a89
CREATE TRIGGER `after_insert_payment` AFTER INSERT ON `payment` FOR EACH ROW BEGIN DECLARE `message` VARCHARACTER (?) ; SET `message` = ? + `new` . `customer_id` + ? + `new` . `Payment_Mode` ; END,,2,0,0,26241.30,20012.10,13120.60,0,0.0,0,0.0,0,0,0,0,c38fc575be70fa5cd1d3504cf049d830db63c379a4d9bfb1dfa065872c32404a
SHOW FULL FIELDS FROM `sjsu_rental_database` . `country`,,11,0,0,25767.60,3192.50,2342.50,22,2.0,143,13.0,11,0,22,0,c92346efab1f1a25df1c168d5369a5d0eee94937e069cfbfe777d5cf8d84acee
SHOW INDEX FROM `sjsu_rental_database` . `host`,,9,0,0,25566.70,12086.20,2840.70,54,6.0,498,55.0,9,0,54,0,dd51aebabe3a4bddf53ff6aac4ce28c6374f8cd2e12aeeed41936880226ce9fe
SHOW PLUGINS,*,5,0,0,24521.90,9386.00,4904.30,225,45.0,225,45.0,5,5,0,0,8181054918915fc138d84fa7a6901fadcd699767bc70fb4090001619a68dd04b
DROP TRIGGER IF EXISTS `after_insert_payment`,,2,0,1,24416.40,21246.70,12208.20,0,0.0,0,0.0,0,0,0,0,f142152ed6d366109ca95be7bfa5a9dfa7ac30364aabce5600e55436a10b3e26
INSERT INTO `sjsu_rental_database` . `customer` VALUES (...),,2,1,0,24375.30,24038.40,12187.60,0,0.0,0,0.0,0,0,0,0,2ce527be831f822b57505748450f438fe81b255b0d6a2d348da44dc0f9155dc3
"SELECT * FROM `sjsu_rental_database` . `amenities_provided` LIMIT ?, ...",,7,0,0,23811.10,21757.10,3401.50,178,25.0,178,25.0,0,0,0,0,1c5d8ac49517db6b3eccf30d5bce24b9ad44f0844c0330ba45f0966fe0402b94
UPDATE `Payment` SET `Customer_ID` = ? WHERE `Payment_ID` = ?,,1,0,0,23532.40,23532.40,23532.40,0,0.0,2,2.0,0,0,0,0,d999a43c2f2470e3e946a8b803e07559f32ab8921331cb58679d06a413e0ef33
SHOW FULL FIELDS FROM `hw_4` . `author`,,5,0,0,23497.50,10373.30,4699.50,20,4.0,105,21.0,5,0,20,0,eab9a3ece7f222f4099c905e33136fe0b5298ec1b5ffae65b6d45eddf4e9a84b
SHOW CHARSET,*,7,0,0,23489.40,6204.70,3355.60,287,41.0,861,123.0,0,0,287,0,1856574834be14252580820873d7125ede9315d91bf93a4a4525fac56ee51b6f
SHOW TRIGGERS LIKE ?,*,22,0,0,23042.20,3666.30,1047.30,0,0.0,1100,50.0,22,0,0,0,cedd5f585fb51f50a552f4684b1e025bc5e2cb06fd808fa3a6d1cd547cc507e5
SELECT * FROM `sys` . `x$io_global_by_file_by_bytes`,*,1,0,0,22922.00,22922.00,22922.00,155,155.0,310,310.0,0,0,155,0,df6a433746ea2016a49bae33569bb03d210b6b328fc3863ad03ec0f9c94fe9b4
"INSERT INTO `sjsu_rental_database` . `amenities` VALUES (...) /* , ... */",,1,0,0,22670.80,22670.80,22670.80,0,0.0,0,0.0,0,0,0,0,9c6f425dbed56fef9522d018a1281323c1c9c38fe4b524dcab881822131fc329
"INSERT INTO `sjsu_rental_database` . `STATE` VALUES (...) /* , ... */",,1,0,0,22446.40,22446.40,22446.40,0,0.0,0,0.0,0,0,0,0,42c4113bac6603e5668e2fe05fa4e4929c7b9ae351776203238027251819c98b
"SELECT * FROM `sjsu_rental_database` . `country` LIMIT ?, ...",*,4,0,0,22414.30,20395.60,5603.50,4,1.0,4,1.0,0,0,0,0,d2ec303bbf31ea7f2c594d293dd4d393add74f93cd47993d80223279b5bbadde
UPDATE `sjsu_rental_database` . `host` SET `Listings_count` = ? WHERE `Host_ID` = ?,,1,0,0,22245.50,22245.50,22245.50,0,0.0,1,1.0,0,0,0,0,ea1453d86fa913092dfa2abd54126a05c8efa7de6906321964c6334d7f5a935e
SELECT `st` . * FROM `performance_schema` . `events_waits_history_long` `st` WHERE `st` . `nesting_event_id` = ?,*,105,0,0,22120.60,3556.90,210.60,0,0.0,0,0.0,0,0,0,0,e2d8fd23be9b829c53381c11c053388a27bacc090dbe669b724641065e50b6c9
CALL `Customer_Rating` (?),,1,1,0,21754.70,21754.70,21754.70,0,0.0,0,0.0,0,0,0,0,3e2764d2ce1a2ecb7f6a768b92d79de1cabfb3b9f252553c794cfdd5508c62cd
SHOW FULL TABLES FROM `sys` WHERE `Table_type` = ?,,1,0,0,21610.60,21610.60,21610.60,100,100.0,203,203.0,0,0,100,0,ac1d8a79e2dc1200a392dbd561459fc33904552ced93aaa795f0dca54d4f8c2a
SHOW FULL FIELDS FROM `sjsu_rental_database` . `state`,,11,0,0,21388.50,2748.00,1944.40,22,2.0,143,13.0,11,0,22,0,1cdf750004e0b75ccd8ac8f1b889aad3afa5635ed9a5b95b34e00745e297fb51
INSERT INTO `sjsu_rental_database` . `verification` VALUES (...),,1,0,0,21097.80,21097.80,21097.80,0,0.0,0,0.0,0,0,0,0,334ea7f0e7ddf879dccfa402db2e8764cdc99dd779a38a48ec2ec08e535f0a00
"SELECT * FROM `sjsu_rental_database` . `state` LIMIT ?, ...",*,3,0,0,21033.70,20065.20,7011.20,150,50.0,150,50.0,0,0,0,0,4ca89333a816bb2c98db3ee95ad3b8afc6a5a5a73c77f488ecd88186bb3ef8d9
"SELECT * FROM `sjsu_rental_database` . `amenities` LIMIT ?, ...",*,3,0,0,20932.50,19880.00,6977.50,30,10.0,30,10.0,0,0,0,0,166bcf4756d3a219828cf0e72cda957f694a1df2c7f0873d521c651e398a5944
"ALTER TABLE `sjsu_rental_database` . `payment` DROP INDEX `Booking_ID` , DROP INDEX `Customer_ID`",,1,1,0,20586.00,20586.00,20586.00,0,0.0,0,0.0,0,0,0,0,c4f0b927dec8adf4e2a081b4ee7e0094ba4acb57e02df9b1519580b7636d2695
UPDATE `sjsu_rental_database` . `listings` SET NAME = ? WHERE `Listing_ID` = ?,,1,1,0,20548.80,20548.80,20548.80,0,0.0,0,0.0,0,0,0,0,823aeb929ab581bb8b52f98e35afd9917ac073ba7e82c8002aed67bd5ca918b2
"SELECT * FROM `sjsu_rental_database` . `verification` LIMIT ?, ...",*,1,0,0,20285.40,20285.40,20285.40,3,3.0,3,3.0,0,0,0,0,bd60ca50bdca70283b36a31889b650333d3ca263f43c55460ae5ba9224baa7d3
SET GLOBAL `log_bin_trust_function_creators` = ?,,3,0,0,19628.10,19233.80,6542.70,0,0.0,0,0.0,0,0,0,0,63a391c13b29e25c20bc70cf69cc815736a290ad01085394f18b8f30b301f1e6
SHOW FULL FIELDS FROM `sjsu_rental_database` . `verification`,,11,0,0,19196.30,2467.20,1745.10,22,2.0,143,13.0,11,0,22,0,4519a9e21ffc8ccf1d6e246882fa7ccb612c4dfdde171577da5a1d031a860c7f
SHOW INDEX FROM `mysql` . `user`,,5,0,0,17821.30,12925.00,3564.20,10,2.0,318,64.0,5,0,10,0,0e0ecf1fdc4d254d5ec476bb276ab24230efcf08b791ae527561908da61c46b5
SHOW INDEX FROM `sjsu_rental_database` . `amenities_provided`,,10,0,0,16744.50,3365.30,1674.40,31,3.0,209,21.0,10,0,31,0,e3d8001a67200c5709af93007f592cb91cee1482623942bd5e74f8bcb8df0d17
"CREATE TABLE `Country` ( `Country_ID` INTEGER PRIMARY KEY NOT NULL , NAME VARCHARACTER (?) NOT NULL )",,1,0,0,16382.80,16382.80,16382.80,0,0.0,0,0.0,0,0,0,0,a5aad340e1329f3914f0291d8f97b4297c8ac8a1464eac90802aad109cc80222
SET SESSION `character_set_results` = ?,,140,0,70,15944.30,333.80,113.80,0,0.0,0,0.0,0,0,0,0,3e721af8c99794edb397e87d4f532280af6dcee72b6fe7602ea4bd53fd62c334
SHOW INDEXES FROM `sjsu_rental_database` . `customer`,,1,0,0,15629.60,15629.60,15629.60,7,7.0,55,55.0,1,0,7,0,4200e3fd9733ce59b8a60cbead728774458751f37424dd84198736f8651785e6
SHOW FULL FIELDS FROM `hw_4` . `employee`,,5,0,0,15596.00,3575.50,3119.20,55,11.0,245,49.0,5,0,55,0,13ad9bdf312410a31f4425d67965d1378cc71c7765d53ffb826aa8db938fcb18
SHOW INDEX FROM `sjsu_rental_database` . `country`,,4,0,0,15454.30,7335.30,3863.50,4,1.0,47,12.0,4,0,4,0,1617fe093f5dfd83c7df0fe52d8383464682647aa7b414d29752debfda5ca666
SHOW SCHEMAS,*,6,0,0,15357.90,3076.80,2559.60,114,19.0,462,77.0,0,0,114,0,dbea8921b559b8cdd4976d57d70304daa8a242fbbfe6df94427006b54ead6b0f
SHOW TRIGGERS FROM `sjsu_rental_database` LIKE ?,*,7,0,0,15035.10,7157.80,2147.80,0,0.0,350,50.0,7,0,0,0,f5e9255d00656100bd9f2657528e62b68ce26145fb64e5b9e77614ba72f4f536
"SELECT `partition_name` , `subpartition_name` , `partition_ordinal_position` , `subpartition_ordinal_position` , `partition_method` , `subpartition_method` , `partition_expression` , `subpartition_expression` , `partition_description` , `table_rows` , `avg_row_length` , `data_length` , `max_data_length` , `index_length` , `create_time` , `update_time` , `check_time` FROM `information_schema` . `partitions` WHERE `TABLE_SCHEMA` = ? AND TABLE_NAME = ? AND `PARTITION_NAME` IS NOT NULL ORDER BY `PARTITION_NAME`",,7,0,0,15033.70,4506.60,2147.60,0,0.0,0,0.0,0,0,0,0,591d33721ee0f8906456cecd1e01025bf471e742cf1706b30d4209b1cc464ea8
SHOW FULL FIELDS FROM `hw_4` . `checkout`,,5,0,0,14445.10,3341.90,2889.00,30,6.0,145,29.0,5,0,30,0,9e7ba6963108e1dc5cd40c99784a88fac92ee0bad1fa853929adc02298ea32ea
SHOW FULL FIELDS FROM `hw_4` . `book`,,5,0,0,14164.30,3149.70,2832.80,30,6.0,145,29.0,5,0,30,0,896f7b1790e5e48686ea05acde8fcb827e609a69657327fb6b51cee6cbd7b858
SHOW FULL FIELDS FROM `hw_4` . `customer`,,5,0,0,13994.40,3039.20,2798.80,35,7.0,165,33.0,5,0,35,0,8c850b41f9a33f6f1903dc3fc4d21b179457dc951ba34419256351daf8d02f58
"SELECT COUNT ( * ) FROM `sjsu_rental_database` . `amenities_provided` LIMIT ?, ...",,1,0,0,13860.20,13860.20,13860.20,1,1.0,0,0.0,0,0,0,0,f9a3ac0b9c5b840763671dca575ecb49ec067a3f80c32e9912d144f334d97d3f
SHOW INDEX FROM `sjsu_rental_database` . `reviews`,,9,0,0,13562.20,3781.20,1506.90,36,4.0,302,34.0,9,0,36,0,75079de999aebb8fc3cc92683e9592ea2bd6f0224b21d0a0b1ecc1a47df5c338
SHOW FULL FIELDS FROM `sjsu_rental_database` . `trigger_phone_update`,,1,0,0,13068.50,13068.50,13068.50,2,2.0,13,13.0,1,0,2,0,c486757d9c95940bb5d849994825ba3aed3384349f56a876e79696675a9bfd11
"LOCK TABLES `amenities` READ LOCAL , `amenities_provided` READ LOCAL , `bookings` READ LOCAL , `country` READ LOCAL , `customer` READ LOCAL , `host` READ LOCAL , `listings` READ LOCAL , `payment` READ LOCAL , `reviews` READ LOCAL , `state` READ LOCAL , `verification` READ LOCAL",,2,0,0,12713.70,10728.70,6356.80,0,0.0,0,0.0,0,0,0,0,487748122f4994558da741ef8f42c52a251da738226992f4ce17e7cbd37e80f8
SHOW FIELDS FROM `mysql` . `tables_priv` LIKE ?,,7,0,0,12647.50,2730.10,1806.70,7,1.0,112,16.0,7,0,7,0,8cc92df66b055fb1d2f042aaabaf09e6d92b5f57663a7856789456f48c0c44cb
SHOW INDEX FROM `sjsu_rental_database` . `listings`,,1,0,0,12614.00,12614.00,12614.00,5,5.0,70,70.0,1,0,5,0,0ea300a7cf3c103dd8389db7783228de0b0415e0bbb5b3e7e8de38d9dc3e239e
SHOW VARIABLES,*,7,0,0,12167.40,2406.40,1738.20,4585,655.0,4585,655.0,7,0,0,0,9959c56ef11ca3c143a80d199705b5128cb5dfbbdc967225c4bd603595738aab
SHOW FULL FIELDS FROM `hw_4` . `line`,,5,0,0,12162.50,3047.10,2432.50,25,5.0,125,25.0,5,0,25,0,aa61c4637e545e501e7cc4b8a4df947e52ed54d58b74d7f34e597ad2419f766a
SET NAMES `utf8`,,22,0,22,12143.90,2508.30,551.90,0,0.0,0,0.0,0,0,0,0,13fcb9bac24560527e210ae59823ea393edcac9d7989014c15a54d4e64b2e3ea
SHOW INDEX FROM `sjsu_rental_database` . `customer`,,4,0,0,12139.50,7530.60,3034.80,28,7.0,248,62.0,4,0,28,0,b12e9a9ecefd426048aa5fa6a1269ba8514c12ed05f45dd8bf8070fdae346c4d
SHOW FULL FIELDS FROM `hw_4` . `invoice`,,5,0,0,12071.80,3081.20,2414.30,15,3.0,85,17.0,5,0,15,0,834092e1d65a68b3b932b3058c6a043b71eaf75e4be6e00f8e72598a33ab7429
"SELECT ? AS ? , `TABLE_CATALOG` AS ? , `TABLE_SCHEMA` AS ? , TABLE_NAME AS ? FROM `information_schema` . `views` WHERE `table_schema` = ?",,1,0,0,12047.30,12047.30,12047.30,0,0.0,13,13.0,0,0,0,0,b59aab18eb9c77e83f9b37864a4dcad0590af3794d18919a1d4eff4a595b6d9e
"INSERT INTO `sjsu_rental_database` . `customer` VALUES (...) /* , ... */",,1,0,0,11683.00,11683.00,11683.00,0,0.0,0,0.0,0,0,0,0,078cfb781f215f8b9032b5f0e3f10def2ef595f31913493f95e9249773bcd8d3
SHOW FULL FIELDS FROM `hw_4` . `product`,,5,0,0,11587.80,3081.40,2317.50,40,8.0,185,37.0,5,0,40,0,9e510d4d6c196367d413b47d17a4213915ce9f5b41017608fecac05433292945
SELECT CURRENT_USER ( ),,34,0,0,11457.80,5936.30,336.90,34,1.0,34,1.0,0,0,0,0,3eff569d77bf7e2ccb14bd593a390e6187f054f1435d6bed2f3b547f827e8992
"SELECT COLUMN_NAME , `JSON_EXTRACT` ( HISTOGRAM , ? ) FROM `information_schema` . `COLUMN_STATISTICS` WHERE SCHEMA_NAME = ? AND TABLE_NAME = ?",*,22,0,0,11234.50,4118.50,510.60,0,0.0,0,0.0,0,0,0,0,a98bd00155f9c439906b606992a2784070f41612d55de655f0e7e21227d7bad8
SELECT COUNT ( * ) `column_count` FROM `information_schema` . `columns` WHERE `table_schema` = ? AND TABLE_NAME = ?,,8,0,0,11175.60,4296.20,1396.90,8,1.0,394,49.0,0,0,0,0,f216d5c82e5bde2d9e72610e284ab1b2e34135821c660cc1bcedef4dddfe0a0c
SHOW FULL FIELDS FROM `hw_4` . `patron`,,5,0,0,11149.00,2850.30,2229.80,20,4.0,105,21.0,5,0,20,0,f01a2fafebe1de7f41ccde423777ae8483f621bf5b712a1834da63a2e2a3410d
"SELECT ? AS `scope` , SYSTEM_USER , HOST , `Select_priv` AS ? , `Insert_priv` AS ? , `Update_priv` AS ? , `Delete_priv` AS ? , `Create_priv` AS ? , `Drop_priv` AS ? , `Grant_priv` AS ? , `References_priv` AS ? , `Index_priv` AS ? , `Alter_priv` AS ? , `Create_View_priv` AS ? , `Show_view_priv` AS ? , `Trigger_priv` AS ? FROM `mysql` . `user` WHERE `Select_priv` = ? OR `Insert_priv` = ? OR `Update_priv` = ? OR `Delete_priv` = ? OR `Create_priv` = ? OR `Drop_priv` = ? OR `Grant_priv` = ? OR `References_priv` = ? OR `Index_priv` = ? OR `Alter_priv` = ? OR `Create_View_priv` = ? OR `Show_view_priv` = ? OR `Trigger_priv` = ?",*,7,0,0,11117.20,4570.30,1588.10,21,3.0,35,5.0,0,0,0,0,138698999be51a1201f3e95c6c466344d5407a1cda606011b12391da7c0310c0
SELECT `st` . * FROM `performance_schema` . `events_statements_current` `st` JOIN `performance_schema` . `threads` `thr` ON `thr` . `thread_id` = `st` . `thread_id` WHERE `thr` . `processlist_id` = ?,,4,0,0,11024.00,9653.40,2756.00,4,1.0,8,2.0,0,0,0,0,b31742f7d23c9cd7e41466837a9bf595201427497601718ac456e68040146a54
SHOW FULL FIELDS FROM `hw_4` . `vendor`,,5,0,0,10989.00,3024.70,2197.80,35,7.0,165,33.0,5,0,35,0,eba36116efffd7b6e61c5312d3a0a204f74aeeb474f4e3e806eece27992c0d30
SHOW CREATE TABLE `sjsu_rental_database` . `bookings`,,2,0,0,10821.90,10449.20,5410.90,0,0.0,0,0.0,0,0,0,0,cc65f58badad20d9558d65ef5ddfbe0991320bfccbd68e0f258525bb296f2b3b
ANALYZE TABLE `sjsu_rental_database` . `host`,,1,0,0,10758.80,10758.80,10758.80,0,0.0,0,0.0,0,0,0,0,c6429799953533d513254d7048f18a1193b2aab24b4037a6e30bc2197af36c3c
SHOW EVENTS,*,2,0,0,10206.10,9474.50,5103.00,2,1.0,16,8.0,0,0,2,0,250f483f736489cb8b8b32f63fad216e413056be283cd3bddb5ae57e56f7284b
SET CHARACTER SET `utf8`,,22,0,0,10196.20,1624.70,463.40,0,0.0,0,0.0,0,0,0,0,7fefc009e426d24935eca18b34c6829c935bc1d0697fe927f91fdfac6fde18b4
GRANT ALL PRIVILEGES ON `sjsu_rental_database` . * TO ? @? WITH GRANT OPTION,,1,1,0,9677.00,9677.00,9677.00,0,0.0,0,0.0,0,0,0,0,f7a2e2389be76681c1ca366d2c1ab1b67fdc23fcd11ccd2caea8a9754c752bf6
SELECT @@`version_comment` LIMIT ?,,4,0,0,9392.40,5241.00,2348.10,4,1.0,4,1.0,0,0,0,0,44e35cee979ba420eb49a8471f852bbe15b403c89742704817dfbaace0d99dbb
USE `hw_4`,,14,0,0,9028.50,2670.80,644.80,0,0.0,0,0.0,0,0,0,0,75d8c9697303e28c4ee764cc8db71feedf72fb5c94e2becd684fc8a2caa97aa1
SHOW PROCESSLIST,,1,0,0,8936.70,8936.70,8936.70,0,0.0,0,0.0,0,0,0,0,d775e35f7040fb4e7e544e21fb227d47f613065e677f7c7a3ec2767f0e91c720
SHOW FULL FIELDS FROM `hw_4` . `writes`,,5,0,0,8925.10,2788.50,1785.00,10,2.0,65,13.0,5,0,10,0,088b79cb06c118d6ea91eadcc218cc58741ba0b1c412bd97e67867c17aee3958
SHOW INDEX FROM `sjsu_rental_database` . `amenities`,,4,0,0,8921.70,2985.50,2230.40,8,2.0,66,17.0,4,0,8,0,5fe4248b047d49d7d33adb8371de2c4620b35730d38211d9fdfcb1a2d9706772
SET NAMES ?,,33,0,0,8895.60,1672.00,269.50,0,0.0,0,0.0,0,0,0,0,f602ce2b604742e053aebf598ab8704c3b804def2946274dff866e2679d8f9fa
"INSERT INTO `sjsu_rental_database` . `verification` VALUES (...) /* , ... */",,1,0,0,8872.80,8872.80,8872.80,0,0.0,0,0.0,0,0,0,0,94bb1a5d3220b03faf57b1de30ecc924363183d973fd8e4c42ab3f5debf6ca3e
"SELECT * FROM `sjsu_rental_database` . `host` LIMIT ?, ...",*,8,0,0,8821.70,2291.20,1102.70,70,9.0,70,9.0,0,0,0,0,1ba6297940db14e2c3b8102c04db40decf4b37b8c87b7b4d4204344881cc3f0e
"SELECT `CONCAT` ( `Db` , ? , TABLE_NAME ) AS `scope` , SYSTEM_USER , HOST , IF ( `FIND_IN_SET` ( ? , `Table_priv` ) = ?, ... ) AS ? , IF ( `FIND_IN_SET` ( ? , `Table_priv` ) = ?, ... ) AS ? , IF ( `FIND_IN_SET` ( ? , `Table_priv` ) = ?, ... ) AS ? , IF ( `FIND_IN_SET` ( ? , `Table_priv` ) = ?, ... ) AS ? , IF ( `FIND_IN_SET` ( ? , `Table_priv` ) = ?, ... ) AS ? , IF ( `FIND_IN_SET` ( ? , `Table_priv` ) = ?, ... ) AS ? , IF ( `FIND_IN_SET` ( ? , `Table_priv` ) = ?, ... ) AS ? , IF ( `FIND_IN_SET` ( ? , `Table_priv` ) = ?, ... ) AS ? , IF ( `FIND_IN_SET` ( ? , `Table_priv` ) = ?, ... ) AS ? , IF ( `FIND_IN_SET` ( ? , `Table_priv` ) = ?, ... ) AS ? , IF ( `FIND_IN_SET` ( ? , `Table_priv` ) = ?, ... ) AS ? , IF ( `FIND_IN_SET` ( ? , `Table_priv` ) = ?, ... ) AS ? , IF ( `FIND_IN_SET` ( ? , `Table_priv` ) = ?, ... ) AS ? FROM `mysql` . `tables_priv` WHERE ? LIKE `Db` AND ? LIKE TABLE_NAME",*,7,0,0,8590.10,3079.80,1227.10,0,0.0,14,2.0,0,0,0,0,7395d2c57a689a214cae7dc22ab3c77ebe3f08241b60de121d40d9030ff232ef
SHOW CREATE TABLE `sjsu_rental_database` . `payment`,,4,0,0,8472.80,3949.60,2118.20,0,0.0,0,0.0,0,0,0,0,385e08b1561536563573eca6280d656b82630ecb99952ff66a515ebee1960c13
SHOW FIELDS FROM `mysql` . `columns_priv` LIKE ?,,7,0,0,8270.80,1900.40,1181.50,7,1.0,105,15.0,7,0,7,0,6a099d9cf5137191cef0f35f9b436e68ea0203dabedc7ed395a94b7dd1466f3f
SHOW ENGINES,*,7,0,0,8027.60,1907.60,1146.80,63,9.0,63,9.0,7,0,0,0,694ce669f6158c6e62190a80036873cd7a95b81566f32b7f979f9624b10f564a
UPDATE `sjsu_rental_database` . `listings` SET NAME = ? WHERE `Listings_ID` = ?,,1,0,0,7895.80,7895.80,7895.80,0,0.0,1,1.0,0,0,0,0,789bf3887ef8398fd914660aa45ad3d18b10083a1ec2249c139528fd5fa3aea8
"SELECT `COLUMN_NAME` , `COLUMN_TYPE` , `COLUMN_DEFAULT` , `IS_NULLABLE` , `CHARACTER_SET_NAME` , `COLLATION_NAME` , `PRIVILEGES` , `EXTRA` , `COLUMN_COMMENT` FROM `information_schema` . `columns` WHERE `table_schema` = ? AND TABLE_NAME = ?",,7,0,0,7366.40,1676.50,1052.30,101,14.0,338,48.0,0,0,0,0,b611d78cf763c7dc9b1446ca6b46fb2f4d8c261bf6cab101c2b9593b17c5016b
"SELECT * FROM `sjsu_rental_database` . `reviews` LIMIT ?, ...",*,10,0,0,7356.10,3757.80,735.60,30,3.0,30,3.0,0,0,0,0,36a1c51be32e5beea72f4f0002b22defa5a5a50a32ef9d17fbe0b707ec8fc154
INSERT INTO `sjsu_rental_database` . `country` VALUES (...),,2,1,0,6974.00,4927.40,3487.00,0,0.0,0,0.0,0,0,0,0,2289a4230910986d45ad8201d697cb07484147280b4fc2726f53c46131a47104
SHOW FIELDS FROM `listings`,,4,0,0,6923.60,2274.80,1730.90,148,37.0,612,153.0,4,0,148,0,048d444f3ba9a8927f727d1d3c110afcbbe1e922e05dfd5ea05d67eb26825c37
SHOW COLLATION,*,1,0,0,6620.80,6620.80,6620.80,286,286.0,613,613.0,1,0,286,0,f547ffac4814e362ef0421e4a45a6137d4be89fbb5ba419e1813d13647bcb53a
DROP SCHEMA IF EXISTS `SJSU_Rental_Database`,,1,0,1,6516.00,6516.00,6516.00,0,0.0,0,0.0,0,0,0,0,6bb8083cda35e1370aa90c5b7e4a2b68656d463d921ab57474b27bcd71ee3be9
"SELECT `ROUTINE_TYPE` AS ? , `ROUTINE_CATALOG` AS ? , `ROUTINE_SCHEMA` AS ? , `ROUTINE_NAME` AS ? FROM `information_schema` . `routines` WHERE `routine_schema` = ?",,1,0,0,6254.70,6254.70,6254.70,0,0.0,2,2.0,0,0,0,0,96cb7af396f16e967a35426bb13cb16857ac491cee2e09ef576c6e33f99c4ded
CREATE SCHEMA `SJSU_Rental_Database`,,1,0,0,6185.20,6185.20,6185.20,0,0.0,0,0.0,0,0,0,0,c2853b7abeb0143bee0db80fd8d13e949e94dce867ab910dbdfac1f0e9443956
"SELECT HOST , SYSTEM_USER FROM `mysql` . `user` LIMIT ?, ...",,5,0,0,6106.60,4565.30,1221.30,30,6.0,30,6.0,0,0,0,0,07edf4451ba97a50565b93c468e665e2627a3b97c7aa0be21dcee7decefb2fc4
